id,cd_sig,code_10km,id_gps_data,id_device,gps_date,ttf,temperature,sat_number,hdop,latitude,longitude,altitude,dimension,accurate
281,1kmL93E982N6374,E982N6374,,,,,,,,,,,,
282,1kmL93E982N6375,E982N6375,,,,,,,,,,,,
283,1kmL93E982N6376,E982N6376,,,,,,,,,,,,
284,1kmL93E982N6377,E982N6377,,,,,,,,,,,,
285,1kmL93E982N6378,E982N6378,,,,,,,,,,,,
286,1kmL93E982N6379,E982N6379,,,,,,,,,,,,
287,1kmL93E982N6380,E982N6380,,,,,,,,,,,,
288,1kmL93E982N6381,E982N6381,,,,,,,,,,,,
289,1kmL93E982N6382,E982N6382,,,,,,,,,,,,
290,1kmL93E982N6383,E982N6383,,,,,,,,,,,,
291,1kmL93E982N6384,E982N6384,,,,,,,,,,,,
292,1kmL93E983N6337,E983N6337,,,,,,,,,,,,
293,1kmL93E983N6338,E983N6338,,,,,,,,,,,,
294,1kmL93E983N6339,E983N6339,,,,,,,,,,,,
295,1kmL93E983N6340,E983N6340,,,,,,,,,,,,
296,1kmL93E983N6341,E983N6341,,,,,,,,,,,,
297,1kmL93E983N6342,E983N6342,,,,,,,,,,,,
298,1kmL93E983N6343,E983N6343,,,,,,,,,,,,
299,1kmL93E983N6344,E983N6344,,,,,,,,,,,,
300,1kmL93E983N6345,E983N6345,,,,,,,,,,,,
301,1kmL93E983N6346,E983N6346,,,,,,,,,,,,
302,1kmL93E983N6347,E983N6347,,,,,,,,,,,,
303,1kmL93E983N6348,E983N6348,,,,,,,,,,,,
304,1kmL93E983N6349,E983N6349,,,,,,,,,,,,
305,1kmL93E983N6350,E983N6350,,,,,,,,,,,,
306,1kmL93E983N6351,E983N6351,,,,,,,,,,,,
307,1kmL93E983N6352,E983N6352,,,,,,,,,,,,
308,1kmL93E983N6353,E983N6353,,,,,,,,,,,,
309,1kmL93E983N6354,E983N6354,,,,,,,,,,,,
310,1kmL93E983N6355,E983N6355,,,,,,,,,,,,
311,1kmL93E983N6356,E983N6356,,,,,,,,,,,,
312,1kmL93E983N6357,E983N6357,,,,,,,,,,,,
313,1kmL93E983N6358,E983N6358,,,,,,,,,,,,
314,1kmL93E983N6359,E983N6359,,,,,,,,,,,,
315,1kmL93E983N6360,E983N6360,,,,,,,,,,,,
316,1kmL93E983N6361,E983N6361,,,,,,,,,,,,
317,1kmL93E983N6362,E983N6362,,,,,,,,,,,,
318,1kmL93E983N6363,E983N6363,,,,,,,,,,,,
319,1kmL93E983N6364,E983N6364,,,,,,,,,,,,
320,1kmL93E983N6365,E983N6365,,,,,,,,,,,,
321,1kmL93E983N6366,E983N6366,,,,,,,,,,,,
322,1kmL93E983N6367,E983N6367,,,,,,,,,,,,
323,1kmL93E983N6368,E983N6368,,,,,,,,,,,,
324,1kmL93E983N6369,E983N6369,,,,,,,,,,,,
325,1kmL93E983N6370,E983N6370,,,,,,,,,,,,
326,1kmL93E983N6371,E983N6371,,,,,,,,,,,,
327,1kmL93E983N6372,E983N6372,,,,,,,,,,,,
328,1kmL93E983N6373,E983N6373,,,,,,,,,,,,
329,1kmL93E983N6374,E983N6374,,,,,,,,,,,,
330,1kmL93E983N6375,E983N6375,,,,,,,,,,,,
331,1kmL93E983N6376,E983N6376,,,,,,,,,,,,
332,1kmL93E983N6377,E983N6377,,,,,,,,,,,,
333,1kmL93E983N6378,E983N6378,,,,,,,,,,,,
334,1kmL93E983N6379,E983N6379,,,,,,,,,,,,
335,1kmL93E983N6380,E983N6380,,,,,,,,,,,,
336,1kmL93E983N6381,E983N6381,,,,,,,,,,,,
337,1kmL93E983N6382,E983N6382,,,,,,,,,,,,
338,1kmL93E983N6383,E983N6383,,,,,,,,,,,,
339,1kmL93E983N6384,E983N6384,,,,,,,,,,,,
340,1kmL93E983N6385,E983N6385,,,,,,,,,,,,
341,1kmL93E984N6337,E984N6337,,,,,,,,,,,,
342,1kmL93E984N6338,E984N6338,,,,,,,,,,,,
343,1kmL93E984N6339,E984N6339,,,,,,,,,,,,
344,1kmL93E984N6340,E984N6340,,,,,,,,,,,,
345,1kmL93E984N6341,E984N6341,,,,,,,,,,,,
346,1kmL93E984N6342,E984N6342,,,,,,,,,,,,
347,1kmL93E984N6343,E984N6343,,,,,,,,,,,,
348,1kmL93E984N6344,E984N6344,,,,,,,,,,,,
